"filename", "language", "Python", "C++", "plantuml", "Markdown", "Properties", "Arduino", "YAML", "Ini", "comment", "blank", "total"
"/home/bryan/Documents/UCL/year1/term3/space_robot/libraries/Arduino_USBHostMbed5/src/USBHost/USBHostTypes.h", "C++", 0, 200, 0, 0, 0, 0, 0, 0, 33, 32, 265
"/home/bryan/Documents/UCL/year1/term3/space_robot/libraries/Arduino_USBHostMbed5/src/USBHost/dbg.h", "C++", 0, 37, 0, 0, 0, 0, 0, 0, 16, 14, 67
"/home/bryan/Documents/UCL/year1/term3/space_robot/libraries/Arduino_USBHostMbed5/src/USBHost3GModule/IUSBHostSerial.h", "C++", 0, 24, 0, 0, 0, 0, 0, 0, 52, 20, 96
"/home/bryan/Documents/UCL/year1/term3/space_robot/libraries/Arduino_USBHostMbed5/src/USBHost3GModule/IUSBHostSerialListener.h", "C++", 0, 12, 0, 0, 0, 0, 0, 0, 18, 8, 38
"/home/bryan/Documents/UCL/year1/term3/space_robot/libraries/Arduino_USBHostMbed5/src/USBHost3GModule/WANDongle.cpp", "C++", 0, 180, 0, 0, 0, 0, 0, 0, 21, 35, 236
"/home/bryan/Documents/UCL/year1/term3/space_robot/libraries/Arduino_USBHostMbed5/src/USBHost3GModule/WANDongle.h", "C++", 0, 39, 0, 0, 0, 0, 0, 0, 44, 26, 109
"/home/bryan/Documents/UCL/year1/term3/space_robot/libraries/Arduino_USBHostMbed5/src/USBHost3GModule/WANDongleInitializer.h", "C++", 0, 35, 0, 0, 0, 0, 0, 0, 18, 21, 74
"/home/bryan/Documents/UCL/year1/term3/space_robot/libraries/Arduino_USBHostMbed5/src/USBHost3GModule/WANDongleSerialPort.cpp", "C++", 0, 266, 0, 0, 0, 0, 0, 0, 40, 35, 341
"/home/bryan/Documents/UCL/year1/term3/space_robot/libraries/Arduino_USBHostMbed5/src/USBHost3GModule/WANDongleSerialPort.h", "C++", 0, 49, 0, 0, 0, 0, 0, 0, 54, 31, 134
"/home/bryan/Documents/UCL/year1/term3/space_robot/libraries/Arduino_USBHostMbed5/src/USBHostHID/USBHostKeyboard.cpp", "C++", 0, 165, 0, 0, 0, 0, 0, 0, 22, 31, 218
